Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1991","1991","hg/ha","74625","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1992","1992","hg/ha","74523","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1993","1993","hg/ha","73913","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1994","1994","hg/ha","74468","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1995","1995","hg/ha","74759","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1996","1996","hg/ha","74453","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1997","1997","hg/ha","73978","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1998","1998","hg/ha","73438","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1999","1999","hg/ha","72876","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2000","2000","hg/ha","72419","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2001","2001","hg/ha","72131","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2002","2002","hg/ha","70624","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2003","2003","hg/ha","71266","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2004","2004","hg/ha","72228","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2005","2005","hg/ha","73570","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2006","2006","hg/ha","75000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2007","2007","hg/ha","85000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2008","2008","hg/ha","80087","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2009","2009","hg/ha","85105","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2010","2010","hg/ha","70000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2011","2011","hg/ha","70000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2012","2012","hg/ha","76519","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2013","2013","hg/ha","76005","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2014","2014","hg/ha","73000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2015","2015","hg/ha","68824","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2016","2016","hg/ha","72762","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2017","2017","hg/ha","65184","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2018","2018","hg/ha","76527","Fc","Calculated data"
