Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1991","1991","tonnes","17507","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1992","1992","tonnes","17200","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1993","1993","tonnes","17000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1994","1994","tonnes","17500","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1995","1995","tonnes","19669","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1996","1996","tonnes","23341","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1997","1997","tonnes","27727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1998","1998","tonnes","32386","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","1999","1999","tonnes","35928","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2000","2000","tonnes","40540","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2001","2001","tonnes","39542","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2002","2002","tonnes","35630","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2003","2003","tonnes","28043","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2004","2004","tonnes","16692","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2005","2005","tonnes","20239","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2006","2006","tonnes","52500","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2007","2007","tonnes","59500","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2008","2008","tonnes","56061","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2009","2009","tonnes","72765","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2010","2010","tonnes","59850","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2011","2011","tonnes","62041","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2012","2012","tonnes","70000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2013","2013","tonnes","78597","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2014","2014","tonnes","89403","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2015","2015","tonnes","89733","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2017","2017","tonnes","175000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2019","2019","tonnes","250324","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1991","1991","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1992","1992","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1993","1993","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1994","1994","tonnes","9500","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1995","1995","tonnes","10000","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","515","Apples","1996","1996","tonnes","10000","","Official data"
