Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1991","1991","ha","2346","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1992","1992","ha","2308","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1993","1993","ha","2300","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1994","1994","ha","2350","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1995","1995","ha","2631","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1996","1996","ha","3135","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1997","1997","ha","3748","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1998","1998","ha","4410","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1999","1999","ha","4930","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2000","2000","ha","5598","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2001","2001","ha","5482","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2002","2002","ha","5045","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2003","2003","ha","3935","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2004","2004","ha","2311","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2005","2005","ha","2751","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2006","2006","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2007","2007","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2008","2008","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2009","2009","ha","8550","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2010","2010","ha","8550","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2011","2011","ha","8863","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2012","2012","ha","9148","","Official data"
