Country,Year,Area_ha,Price_USD_tonne,Yield_hg_ha,TotalYield_tonnes
Afghanistan,1991,2346.0,,74625.0,17507.0
Afghanistan,1992,2308.0,,74523.0,17200.0
Afghanistan,1993,2300.0,,73913.0,17000.0
Afghanistan,1994,2350.0,,74468.0,17500.0
Afghanistan,1995,2631.0,,74759.0,19669.0
Afghanistan,1996,3135.0,,74453.0,23341.0
Afghanistan,1997,3748.0,,73978.0,27727.0
Afghanistan,1998,4410.0,,73438.0,32386.0
Afghanistan,1999,4930.0,,72876.0,35928.0
Afghanistan,2000,5598.0,,72419.0,40540.0
Afghanistan,2001,5482.0,,72131.0,39542.0
Afghanistan,2002,5045.0,,70624.0,35630.0
Afghanistan,2003,3935.0,,71266.0,28043.0
Afghanistan,2004,2311.0,,72228.0,16692.0
Afghanistan,2005,2751.0,,73570.0,20239.0
Afghanistan,2006,7000.0,,75000.0,52500.0
Afghanistan,2007,7000.0,,85000.0,59500.0
Afghanistan,2008,7000.0,,80087.0,56061.0
Afghanistan,2009,8550.0,,85105.0,72765.0
Afghanistan,2010,8550.0,,70000.0,59850.0
Afghanistan,2011,8863.0,,70000.0,62041.0
Afghanistan,2012,9148.0,,76519.0,70000.0
Afghanistan,2013,10341.0,,76005.0,78597.0
Afghanistan,2014,12247.0,,73000.0,89403.0
Afghanistan,2015,13038.0,,68824.0,89733.0
Afghanistan,2016,19365.0,,72762.0,140903.0
Afghanistan,2017,26847.0,,65184.0,175000.0
Afghanistan,2018,28381.0,,76527.0,217192.0
Afghanistan,2019,27559.0,,90832.0,250324.0
Albania,1991,2000.0,,50000.0,10000.0
Albania,1992,2033.0,,49188.0,10000.0
Albania,1993,2076.0,461.0,48170.0,10000.0
Albania,1994,2005.0,,47382.0,9500.0
Albania,1995,2140.0,323.6,46729.0,10000.0
Albania,1996,2100.0,325.4,47619.0,10000.0
Albania,1997,2242.0,253.1,50401.0,11300.0
Albania,1998,2300.0,248.9,50000.0,11500.0
Albania,1999,2300.0,270.2,51304.0,11800.0
Albania,2000,2300.0,257.5,52174.0,12000.0
Albania,2001,2173.0,257.9,72683.0,15794.0
Albania,2002,2250.0,274.7,70222.0,15800.0
Albania,2003,2400.0,317.6,55417.0,13300.0
Albania,2004,3000.0,375.6,50000.0,15000.0
Albania,2005,3000.0,390.5,53333.0,16000.0
Albania,2006,5500.0,428.1,50120.0,27566.0
Albania,2007,7000.0,486.6,51429.0,36000.0
Albania,2008,6500.0,476.8,69231.0,45000.0
Albania,2009,5000.0,463.3,94404.0,47202.0
Albania,2010,3913.0,356.0,139545.0,54604.0
Albania,2011,3450.0,386.5,185507.0,64000.0
Albania,2012,3719.0,369.7,191718.0,71300.0
Albania,2013,3838.0,492.1,197316.0,75730.0
Albania,2014,3863.0,474.8,212426.0,82060.0
Albania,2015,4008.0,389.0,228882.0,91736.0
Albania,2016,4230.0,381.3,240028.0,101532.0
Albania,2017,4346.0,461.6,221671.0,96338.0
Albania,2018,4294.0,435.2,252387.0,108375.0
Albania,2019,4407.0,346.7,240374.0,105933.0
Algeria,1991,10960.0,,43638.0,47827.0
Algeria,1992,11140.0,,55641.0,61984.0
Algeria,1993,12020.0,,52753.0,63409.0
Algeria,1994,11800.0,,41777.0,49297.0
Algeria,1995,11930.0,407.7,53764.0,64140.0
Algeria,1996,12190.0,,60598.0,73869.0
Algeria,1997,12260.0,,53446.0,65525.0
Algeria,1998,12870.0,,58574.0,75385.0
Algeria,1999,13020.0,,67065.0,87318.0
Algeria,2000,13480.0,,71600.0,96517.0
Algeria,2001,14040.0,,74715.0,104900.0
Algeria,2002,15240.0,978.9,79421.0,121038.0
Algeria,2003,18080.0,1085.3,74968.0,135542.0
Algeria,2004,19861.0,1207.3,83265.0,165372.0
Algeria,2005,24279.0,1255.5,82257.0,199712.0
Algeria,2006,28658.0,1156.3,98835.0,283242.0
Algeria,2007,31904.0,1270.0,59557.0,190010.0
Algeria,2008,33206.0,1424.5,78590.0,260967.0
Algeria,2009,36616.0,1335.2,73047.0,267469.0
Algeria,2010,52419.0,1371.2,72233.0,378637.0
Algeria,2011,51080.0,1439.6,79112.0,404105.0
Algeria,2012,48828.0,1431.6,81414.0,397529.0
Algeria,2013,48064.0,1637.9,94860.0,455937.0
Algeria,2014,40418.0,1623.7,114507.0,462815.0
Algeria,2015,41011.0,1310.9,110086.0,451472.0
Algeria,2016,46070.0,1736.1,108716.0,500855.0
Algeria,2017,44620.0,2126.6,110766.0,494239.0
Algeria,2018,39034.0,1844.0,124970.0,487808.0
Algeria,2019,32989.0,,169399.0,558830.0
Argentina,1991,45547.0,,234373.0,1067500.0
Argentina,1992,46172.0,201.9,228169.0,1053500.0
Argentina,1993,45786.0,160.2,207743.0,951170.0
Argentina,1994,46000.0,140.1,218761.0,1006300.0
Argentina,1995,48000.0,140.0,238750.0,1146000.0
Argentina,1996,51200.0,140.0,238086.0,1219000.0
Argentina,1997,44302.0,160.1,252289.0,1117690.0
Argentina,1998,45327.0,140.1,228014.0,1033520.0
Argentina,1999,45000.0,150.1,248000.0,1116000.0
Argentina,2000,46000.0,140.1,181157.0,833322.0
Argentina,2001,48000.0,100.1,297667.0,1428802.0
Argentina,2002,50000.0,277.5,231366.0,1156830.0
Argentina,2003,50000.0,368.9,261492.0,1307460.0
Argentina,2004,40000.0,451.5,315610.0,1262440.0
Argentina,2005,43723.0,468.7,275875.0,1206210.0
Argentina,2006,40173.0,519.6,273816.0,1100000.0
Argentina,2007,36222.0,,276075.0,1000000.0
Argentina,2008,34021.0,130.5,279239.0,950000.0
Argentina,2009,31657.0,98.5,282402.0,894000.0
Argentina,2010,25213.0,138.5,285567.0,720000.0
Argentina,2011,39829.0,152.1,288734.0,1150000.0
Argentina,2012,35971.0,193.4,291902.0,1050000.0
Argentina,2013,32874.0,192.0,295066.0,970000.0
Argentina,2014,26702.0,175.5,266292.0,711052.0
Argentina,2015,26727.0,,259391.0,693275.0
Argentina,2016,20495.0,,223912.0,458908.0
Argentina,2017,19496.0,,235386.0,458908.0
Argentina,2018,23958.0,,213072.0,510478.0
Argentina,2019,22335.0,,241201.0,538722.0
Armenia,1992,10000.0,,68800.0,68800.0
Armenia,1993,9600.0,,26354.0,25300.0
Armenia,1994,10700.0,,61589.0,65900.0
Armenia,1995,9600.0,,78646.0,75500.0
Armenia,1996,8800.0,,91364.0,80400.0
Armenia,1997,6500.0,179.2,76108.0,49470.0
Armenia,1998,5800.0,198.2,70172.0,40700.0
Armenia,1999,5847.0,214.1,40229.0,23522.0
Armenia,2000,5959.0,150.4,38983.0,23230.0
Armenia,2001,8846.0,163.3,39995.0,35380.0
Armenia,2002,8761.0,204.1,40178.0,35200.0
Armenia,2003,8000.0,257.5,66000.0,52800.0
Armenia,2004,8674.0,280.3,73212.0,63504.0
Armenia,2005,8686.0,301.6,104534.0,90798.0
Armenia,2006,8614.0,446.2,111758.0,96268.0
Armenia,2007,8942.0,542.5,125068.0,111836.0
Armenia,2008,8298.0,515.1,141238.0,117199.0
Armenia,2009,8811.0,389.5,137151.0,120844.0
Armenia,2010,9321.0,776.3,60602.0,56487.0
Armenia,2011,8962.0,692.1,86590.0,77602.0
Armenia,2012,9583.0,544.7,115088.0,110289.0
Armenia,2013,9715.0,495.3,115230.0,111946.0
Armenia,2014,9976.0,570.9,132946.0,132627.0
